"Group1","Group2","p_value"
"2011","2014",NA
"2012","2014",NA
"2013","2014",NA
"2014","2014",NA
"2015","2014",1
"2016","2014",1
"2017","2014",1
"2018","2014",1
"2019","2014",1
"2020","2014",1
"2001","2015",NA
"2002","2015",NA
"2003","2015",NA
"2004","2015",NA
"2005","2015",NA
"2006","2015",NA
"2007","2015",NA
"2008","2015",NA
"2009","2015",NA
"2010","2015",NA
"2011","2015",NA
"2012","2015",NA
"2013","2015",NA
"2014","2015",NA
"2015","2015",NA
"2016","2015",1
"2017","2015",1
"2018","2015",1
"2019","2015",1
"2020","2015",1
"2001","2016",NA
"2002","2016",NA
"2003","2016",NA
"2004","2016",NA
"2005","2016",NA
"2006","2016",NA
"2007","2016",NA
"2008","2016",NA
"2009","2016",NA
"2010","2016",NA
"2011","2016",NA
"2012","2016",NA
"2013","2016",NA
"2014","2016",NA
"2015","2016",NA
"2016","2016",NA
"2017","2016",1
"2018","2016",1
"2019","2016",1
"2020","2016",1
"2001","2017",NA
"2002","2017",NA
"2003","2017",NA
"2004","2017",NA
"2005","2017",NA
"2006","2017",NA
"2007","2017",NA
"2008","2017",NA
"2009","2017",NA
"2010","2017",NA
"2011","2017",NA
"2012","2017",NA
"2013","2017",NA
"2014","2017",NA
"2015","2017",NA
"2016","2017",NA
"2017","2017",NA
"2018","2017",1
"2019","2017",1
"2020","2017",1
"2001","2018",NA
"2002","2018",NA
"2003","2018",NA
"2004","2018",NA
"2005","2018",NA
"2006","2018",NA
"2007","2018",NA
"2008","2018",NA
"2009","2018",NA
"2010","2018",NA
"2011","2018",NA
"2012","2018",NA
"2013","2018",NA
"2014","2018",NA
"2015","2018",NA
"2016","2018",NA
"2017","2018",NA
"2018","2018",NA
"2019","2018",1
"2020","2018",1
"2001","2019",NA
"2002","2019",NA
"2003","2019",NA
"2004","2019",NA
"2005","2019",NA
"2006","2019",NA
"2007","2019",NA
"2008","2019",NA
"2009","2019",NA
"2010","2019",NA
"2011","2019",NA
"2012","2019",NA
"2013","2019",NA
"2014","2019",NA
"2015","2019",NA
"2016","2019",NA
"2017","2019",NA
"2018","2019",NA
"2019","2019",NA
"2020","2019",1
